Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
PL71932,Rick Astley,Hold Me In Your Arms,RCA,"LP, Album",,1988,4375015,Uncategorized,2023-01-09 05:34:29,,,
PL87009,Autograph (2),That's The Stuff,RCA,"LP, Album",,1985,2714990,Uncategorized,2023-03-11 03:33:59,,,
PL89901,Bruce Hornsby And The Range,The Way It Is,RCA,"LP, Album",,1986,11572134,Uncategorized,2023-04-05 04:30:53,,,
NFL1-8040,Autograph (2),Sign In Please,RCA Victor,"LP, Album, Ind",,1984,2791120,Uncategorized,2023-04-01 03:51:31,,,
SRS 558,Elvis Presley,A Portrait In Music,RCA Victor,"LP, Comp, Gat",,1970,412437,Uncategorized,2023-10-12 12:38:00,,,
"PL 85370, PL85370",Rick Springfield,Tao,"RCA, RCA","LP, Album",,1985,655592,Uncategorized,2024-09-21 05:59:13,,,
"PGLPR5, 884108004548",Peter Gabriel,So,"Real World Records, Caroline International","LP, Album, RE, RM, 180",,2016,9473337,Uncategorized,2023-03-11 03:33:13,,,
"PGLPR4D, 884108004203",Peter Gabriel,Deutsches Album,"Real World Records, Charisma","LP, Album, RE, RM, 180",,2016,9700639,Uncategorized,2023-03-17 10:42:20,,,
"RS-2-4200, 2658 132",Bee Gees,Bee Gees Greatest,"RSO, RSO","2xLP, Comp, PRC",,1979,9825889,Uncategorized,2023-03-09 06:00:32,,,
SPR 0108,Otto Waalkes,Ottos Sammelsurium,Rüssl Räckords,"LP, Comp",,1982,1960363,Uncategorized,2023-01-09 05:41:55,,,
064-7 93745 1,Wilson Phillips,Wilson Phillips,SBK Records,"LP, Album",,1990,1915016,Uncategorized,2023-09-16 04:46:57,,,
925 157-1,Madonna,Like A Virgin,Sire,"LP, Album",,1984,392825,Uncategorized,2023-01-09 05:14:29,,,
"SPINE794862, 0602577948626",Airbourne,Boneshaker,"Spinefarm Records, Spinefarm Records","LP, Album",,2019,14312904,Uncategorized,2023-08-26 04:39:52,,,
SP-1-6730,Millie Jackson,I Had To Say It,Spring Records,"LP, Album, 53 ",,1980,4683219,Uncategorized,2023-01-06 11:41:08,Good (G),Very Good (VG),
SS 8410,Bad Company (3),Bad Company,Swan Song,"LP, Album, RI ",,1974,380973,Uncategorized,2024-09-15 07:52:35,,,
B0025276-01,Blink-182,Enema Of The State,"UMe, Geffen Records","LP, Album, M/Print, RE, 180",,2016,9152654,Uncategorized,2023-12-05 11:35:17,,,
1C 064-62 185,Kenny Rogers,The Gambler,United Artists Records,"LP, Album",,1979,4489643,Uncategorized,2024-04-04 11:26:08,,,
533295-9,Metallica,Garage Inc.,Universal,"3xLP, Comp, RE, 180",,2015,7279760,Uncategorized,2023-01-09 05:25:21,,,
6359 119,Def Leppard,Pyromania,Vertigo,"LP, Album, Red",,1983,1976887,Uncategorized,2023-01-19 07:04:08,,,
"836 345-1, 836 345•1, VERH 62",Bon Jovi,New Jersey,"Vertigo, Vertigo, Vertigo","LP, Album",,1988,1397876,Uncategorized,2023-07-07 05:43:58,,,
0602557048414,Queen,Greatest Hits,Virgin EMI Records,"2xLP, Comp, RE, RM, Gat",,2016,9371072,Uncategorized,2023-04-01 10:49:12,,,
"207 750, 207 750-630",Genesis,Invisible Touch,"Virgin, Virgin, Charisma, Charisma","LP, Album, Tex",,1986,657728,Uncategorized,2023-01-09 05:14:37,,,
92-3774-1,ZZ Top,Eliminator,Warner Bros. Records,"LP, Album",,1983,31328548,Uncategorized,2024-08-17 10:03:59,,,
92-3985-1,Van Halen,1984,Warner Bros. Records,"LP, Album",,1984,952734,Uncategorized,2023-01-31 04:54:58,,,
K 56026,The Doobie Brothers,What Were Once Vices Are Now Habits,Warner Bros. Records,"LP, Album",,1974,1110105,Uncategorized,2024-09-15 10:28:25,,,
"92.3757-1, W 3757",Christopher Cross,Another Page,"Warner Bros. Records, Warner Bros. Records","LP, Album, DMM",,1983,2515188,Uncategorized,2023-10-17 08:29:22,,,
"WB 56 470, WB (K) 56 470",Van Halen,Van Halen,"Warner Bros. Records, Warner Bros. Records","LP, Album, RE",,0,522170,Uncategorized,2023-07-17 09:04:23,,,
"WB 56 789, BSK 3383 ",Christopher Cross,Christopher Cross,"Warner Bros. Records, Warner Bros. Records","LP, Album",,1979,1311547,Uncategorized,2024-08-17 10:04:57,,,
240 481-1,Alphaville,Forever Young,WEA,"LP, Album",,1984,7594822,Uncategorized,2023-12-09 10:50:12,,,
LDWI-6154,Phil Collins,"Hello, I Must Be Going!",WEA,"LP, Album, Gat",,1982,5307370,Uncategorized,2023-12-04 06:54:37,,,
"WEA 57 004, WEA K 57 004",John Cougar Mellencamp,American Fool,"WEA, WEA","LP, Album",,1982,5594308,Uncategorized,2023-01-31 04:54:58,,,
